OTUID,Site,Size_fraction,Replicate,Type,OM,NO3,NH4,N
M.005.a.S53,MRC,0.056,a,sample,2.4,9.3,4.3,0.1
M.005.b.S39,MRC,0.056,b,sample,2.4,9.3,4.3,0.1
M.005.c.S47,MRC,0.056,c,sample,2.4,9.3,4.3,0.1
M.01.a.S22,MRC,0.18,a,sample,1.9,9.2,4.7,0.07
M.01.b.S60,MRC,0.18,b,sample,1.9,9.2,4.7,0.07
M.01.c.S3,MRC,0.18,c,sample,1.9,9.2,4.7,0.07
M.02.a.S29,MRC,0.25,a,sample,1.3,4.6,3.2,0.05
M.02.b.S59,MRC,0.25,b,sample,1.3,4.6,3.2,0.05
M.02.c.S52,MRC,0.25,c,sample,1.3,4.6,3.2,0.05
M.05.a.S44,MRC,0.5,a,sample,1.8,12.2,4,0.07
M.05.b.S19,MRC,0.5,b,sample,1.8,12.2,4,0.07
M.05.c.S36,MRC,0.5,c,sample,1.8,12.2,4,0.07
M.1.a.S40,MRC,1,a,sample,2.6,14,4.1,0.09
M.1.b.S33,MRC,1,b,sample,2.6,14,4.1,0.09
M.1.c.S31,MRC,1,c,sample,2.6,14,4.1,0.09
M.2.a.S38,MRC,2,a,sample,,,,
M.2.b.S50,MRC,2,b,sample,,,,
M.2.c.S35,MRC,2,c,sample,,,,
M.min.a.S30,MRC,0.05,a,sample,3.4,18.8,5.5,0.15
M.min.b.S16,MRC,0.05,b,sample,3.4,18.8,5.5,0.15
M.min.c.S48,MRC,0.05,c,sample,3.4,18.8,5.5,0.15
neg1,,,,neg,,,,
neg2,,,,neg,,,,
S.005.a.S41,SVERC,0.056,a,sample,3,3.2,5.1,0.13
S.005.b.S5,SVERC,0.056,b,sample,3,3.2,5.1,0.13
S.005.c.S15,SVERC,0.056,c,sample,3,3.2,5.1,0.13
S.01.a.S45,SVERC,0.18,a,sample,2.3,2.3,5.2,0.08
S.01.b.S9,SVERC,0.18,b,sample,2.3,2.3,5.2,0.08
S.01.c.S25,SVERC,0.18,c,sample,2.3,2.3,5.2,0.08
S.02.a.S32,SVERC,0.25,a,sample,2,2.2,3.6,0.07
S.02.b.S61,SVERC,0.25,b,sample,2,2.2,3.6,0.07
S.02.c.S2,SVERC,0.25,c,sample,2,2.2,3.6,0.07
S.05.a.S51,SVERC,0.5,a,sample,2.1,2.4,4.2,0.1
S.05.b.S24,SVERC,0.5,b,sample,2.1,2.4,4.2,0.1
S.05.c.S54,SVERC,0.5,c,sample,2.1,2.4,4.2,0.1
S.1.a.S7,SVERC,1,a,sample,2.5,2.8,4.8,0.1
S.1.b.S49,SVERC,1,b,sample,2.5,2.8,4.8,0.1
S.1.c.S14,SVERC,1,c,sample,2.5,2.8,4.8,0.1
S.2.a.S18,SVERC,2,a,sample,1.6,12.5,6.9,0.12
S.2.b.S20,SVERC,2,b,sample,1.6,12.5,6.9,0.12
S.2.c.S55,SVERC,2,c,sample,1.6,12.5,6.9,0.12
S.min.a.S21,SVERC,0.05,a,sample,3.5,8.7,6.3,0.16
S.min.b.S4,SVERC,0.05,b,sample,3.5,8.7,6.3,0.16
S.min.c.S10,SVERC,0.05,c,sample,3.5,8.7,6.3,0.16
