# Constructed from biom file
#OTU ID	M.02.c.S52	M.1.b.S33	M.min.b.S16	M.2.c.S35	M.01.a.S22	M.02.b.S59	M.01.c.S3	M.005.b.S39	S.02.a.S32	M.05.c.S36	M.005.c.S47	M.min.a.S30	S.005.c.S15	M.min.c.S48	M.05.a.S44	M.2.a.S38	M.005.a.S53	neg2	S.005.a.S41	neg1	S.01.b.S9	S.01.c.S25	M.1.c.S31	M.1.a.S40	M.02.a.S29	M.05.b.S19	S.01.a.S45	M.01.b.S60	M.2.b.S50	S.005.b.S5	S.02.b.S61	S.2.b.S20	S.05.c.S54	S.min.a.S21	S.1.b.S49	S.min.b.S4	S.1.a.S7	S.min.c.S10	S.2.c.S55	S.05.b.S24	S.05.a.S51	S.02.c.S2	S.1.c.S14	S.2.a.S18
e85dd3c2f913d341feb3179c0c15a912	796.0	1462.0	1938.0	1543.0	1532.0	1285.0	1644.0	1680.0	350.0	1680.0	1568.0	2051.0	350.0	2399.0	1840.0	1486.0	1631.0	11.0	332.0	7.0	377.0	380.0	1794.0	2093.0	1707.0	2318.0	382.0	1563.0	1830.0	425.0	337.0	343.0	327.0	399.0	483.0	443.0	431.0	546.0	693.0	384.0	515.0	368.0	476.0	467.0
4bb9211080f09fac98854305793c6583	771.0	644.0	674.0	685.0	670.0	1310.0	689.0	544.0	591.0	941.0	1007.0	470.0	661.0	590.0	832.0	751.0	989.0	6.0	514.0	7.0	658.0	750.0	722.0	798.0	1618.0	812.0	895.0	1666.0	1081.0	715.0	807.0	250.0	283.0	762.0	332.0	916.0	429.0	748.0	240.0	431.0	420.0	1062.0	384.0	187.0
9791a3b687526c560a9682156cdcc482	455.0	777.0	682.0	764.0	679.0	722.0	726.0	665.0	2322.0	815.0	676.0	701.0	2321.0	698.0	1035.0	880.0	832.0	20.0	2137.0	7.0	2990.0	3006.0	1194.0	943.0	1090.0	1156.0	2984.0	1030.0	1213.0	3134.0	2821.0	989.0	2010.0	2946.0	1132.0	3015.0	1347.0	2981.0	1091.0	2483.0	2421.0	3643.0	1529.0	2536.0
46f7e9b9199b9b73fe908210eed067cf	439.0	477.0	452.0	352.0	903.0	778.0	1119.0	975.0	0.0	728.0	824.0	884.0	0.0	908.0	978.0	319.0	823.0	2.0	0.0	0.0	0.0	0.0	709.0	583.0	1001.0	780.0	0.0	786.0	366.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
f2dccd61ffc24f9531e3475b2392d722	410.0	283.0	220.0	248.0	347.0	467.0	376.0	364.0	560.0	303.0	470.0	228.0	549.0	250.0	461.0	282.0	491.0	6.0	463.0	0.0	559.0	475.0	494.0	400.0	649.0	430.0	594.0	481.0	403.0	610.0	684.0	664.0	576.0	277.0	934.0	321.0	673.0	321.0	708.0	795.0	770.0	730.0	579.0	550.0
83f6d774086a6d8ce6d01216b51643d3	277.0	284.0	253.0	327.0	292.0	533.0	286.0	237.0	146.0	258.0	432.0	226.0	76.0	236.0	304.0	371.0	502.0	3.0	127.0	0.0	138.0	139.0	365.0	301.0	603.0	292.0	154.0	614.0	571.0	118.0	140.0	133.0	128.0	66.0	72.0	82.0	175.0	71.0	265.0	189.0	108.0	279.0	126.0	74.0
634a6866d71b8e23eefea6c3356f6613	254.0	220.0	260.0	126.0	158.0	414.0	198.0	171.0	0.0	243.0	351.0	235.0	0.0	330.0	242.0	116.0	400.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	473.0	135.0	0.0	455.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ad3bc4cc0e72105be8fb3c829a242870	237.0	46.0	3.0	24.0	24.0	30.0	19.0	46.0	0.0	61.0	90.0	1.0	0.0	10.0	43.0	22.0	56.0	0.0	0.0	0.0	0.0	0.0	27.0	50.0	104.0	95.0	0.0	26.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
975c3401bf8cb52fcce4ebfca3c2b037	231.0	231.0	363.0	357.0	362.0	254.0	277.0	347.0	357.0	262.0	278.0	419.0	443.0	341.0	277.0	420.0	335.0	6.0	401.0	0.0	431.0	470.0	292.0	312.0	277.0	283.0	507.0	365.0	525.0	597.0	436.0	511.0	483.0	448.0	514.0	419.0	411.0	421.0	594.0	466.0	496.0	441.0	505.0	314.0
8c41cbbd671f8700c38a4c995590ef78	228.0	155.0	197.0	66.0	219.0	264.0	259.0	167.0	0.0	212.0	237.0	251.0	0.0	242.0	315.0	112.0	232.0	0.0	2.0	2.0	0.0	0.0	244.0	265.0	322.0	246.0	0.0	314.0	130.0	3.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
806f255666f09c62ea13b4d76f85db35	214.0	619.0	378.0	691.0	368.0	337.0	346.0	346.0	392.0	514.0	439.0	377.0	345.0	372.0	635.0	622.0	521.0	3.0	282.0	6.0	359.0	382.0	655.0	777.0	435.0	640.0	440.0	470.0	754.0	480.0	377.0	639.0	330.0	310.0	464.0	357.0	566.0	363.0	783.0	556.0	515.0	462.0	624.0	431.0
b64ebededc148b2b1f07364095b82b3f	210.0	355.0	316.0	249.0	326.0	316.0	309.0	422.0	0.0	337.0	350.0	439.0	0.0	488.0	391.0	247.0	347.0	3.0	0.0	0.0	0.0	0.0	268.0	337.0	455.0	393.0	0.0	490.0	369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
498c260bb4a4becbb22208d9ab311fe2	203.0	503.0	302.0	519.0	370.0	429.0	390.0	237.0	0.0	466.0	377.0	215.0	0.0	278.0	620.0	671.0	424.0	0.0	0.0	0.0	0.0	0.0	761.0	477.0	745.0	595.0	0.0	800.0	740.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	20.0	0.0	2.0	0.0	0.0	4.0
b5b0aa8c399a86f5a76140640cc4c839	197.0	263.0	329.0	268.0	325.0	333.0	349.0	224.0	0.0	423.0	382.0	316.0	0.0	355.0	373.0	316.0	332.0	1.0	0.0	0.0	0.0	0.0	382.0	447.0	506.0	408.0	0.0	535.0	347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8dac0880092e0c709a8167a95538ac96	190.0	252.0	197.0	218.0	317.0	345.0	423.0	166.0	192.0	245.0	384.0	222.0	219.0	228.0	303.0	342.0	352.0	5.0	284.0	2.0	327.0	298.0	330.0	274.0	474.0	324.0	288.0	527.0	337.0	211.0	274.0	178.0	202.0	180.0	221.0	214.0	209.0	154.0	272.0	248.0	159.0	407.0	235.0	164.0
e585a6c81b068804fc552e94c5a237f5	173.0	45.0	247.0	45.0	316.0	284.0	331.0	412.0	0.0	164.0	309.0	370.0	0.0	376.0	215.0	83.0	419.0	0.0	2.0	0.0	0.0	0.0	125.0	117.0	301.0	170.0	2.0	281.0	55.0	7.0	5.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
