Soil	Fractions	relative_portion_size		
SVERC	2	0.487450387		
SVERC	1	0.265840496		
SVERC	0.5	0.126666857		
SVERC	0.25	0.066074641		
SVERC	0.18	0.018503184		
SVERC	0.056	0.025984409		
SVERC	0.05	0.009480026		
MRC	2	0.10738786		
MRC	1	0.15030441		
MRC	0.5	0.306561948		
MRC	0.25	0.249867333		
MRC	0.18	0.0771205		
MRC	0.056	0.090657353		
MRC	0.05	0.018100595		
