ID	Rep.x	SA_um	SA_mm	Vol_um	Vol_mm	SA.Vol_um.1	SA.Vo_mm.1	Soil	Site	Size	Rep.y	id_new
M_5_a	1	45951019.79	45.95101979	311547171	0.311547171	0.147492977	147.4929772	MRC	M	0.5	a	M_0.5_a
M_5_a	2	46409327.28	46.40932728	328945617	0.328945617	0.141085106	141.0851061	MRC	M	0.5	a	M_0.5_a
M_5_a	3	48154718.01	48.15471801	384499206	0.384499206	0.125240097	125.2400974	MRC	M	0.5	a	M_0.5_a
M_5_b	1	37097059.01	37.09705901	289673046	0.289673046	0.128065277	128.0652775	MRC	M	0.5	b	M_0.5_b
M_5_b	2	36041002.43	36.04100243	272344020	0.27234402	0.132336309	132.3363092	MRC	M	0.5	b	M_0.5_b
M_5_b	3	36041002.43	36.04100243	272344020	0.27234402	0.132336309	132.3363092	MRC	M	0.5	b	M_0.5_b
M_5_c	1	28184658.14	28.18465814	217403706	0.217403706	0.129642032	129.6420317	MRC	M	0.5	c	M_0.5_c
M_5_c	2	28184658.14	28.18465814	217403706	0.217403706	0.129642032	129.6420317	MRC	M	0.5	c	M_0.5_c
M_5_c	3	28184658.14	28.18465814	217403706	0.217403706	0.129642032	129.6420317	MRC	M	0.5	c	M_0.5_c
M_18_a	1	99181040.14	99.18104014	390338247	0.390338247	0.254089987	254.0899871	MRC	M	0.18	a	M_0.18_a
M_18_a	2	110927454.7	110.9274547	467161188	0.467161188	0.237450065	237.4500654	MRC	M	0.18	a	M_0.18_a
M_18_a	3	110927454.7	110.9274547	467161188	0.467161188	0.237450065	237.4500654	MRC	M	0.18	a	M_0.18_a
M_18_b	1	44068331.68	44.06833168	168140856	0.168140856	0.262091753	262.0917529	MRC	M	0.18	b	M_0.18_b
M_18_b	2	44068331.68	44.06833168	168140856	0.168140856	0.262091753	262.0917529	MRC	M	0.18	b	M_0.18_b
M_18_b	3	44068331.68	44.06833168	168140856	0.168140856	0.262091753	262.0917529	MRC	M	0.18	b	M_0.18_b
M_18_c	1	33086772.76	33.08677276	109623345	0.109623345	0.301822324	301.822324	MRC	M	0.18	c	M_0.18_c
M_18_c	2	33086772.76	33.08677276	109623345	0.109623345	0.301822324	301.822324	MRC	M	0.18	c	M_0.18_c
M_18_c	3	33086772.76	33.08677276	109623345	0.109623345	0.301822324	301.822324	MRC	M	0.18	c	M_0.18_c
M_25_a	1	42935173.76	42.93517376	260309166	0.260309166	0.164939155	164.9391546	MRC	M	0.25	a	M_0.25_a
M_25_a	2	44704848.73	44.70484873	277345926	0.277345926	0.161188049	161.1880491	MRC	M	0.25	a	M_0.25_a
M_25_a	3	40063059.11	40.06305911	231365121	0.231365121	0.173159459	173.1594587	MRC	M	0.25	a	M_0.25_a
M_25_b	1	32001030.31	32.00103031	191710350	0.19171035	0.166923853	166.9238531	MRC	M	0.25	b	M_0.25_b
M_25_b	2	31207159.83	31.20715983	181988157	0.181988157	0.17147907	171.4790695	MRC	M	0.25	b	M_0.25_b
M_25_b	3	32001030.31	32.00103031	191710350	0.19171035	0.166923853	166.9238531	MRC	M	0.25	b	M_0.25_b
M_25_c	1	26244521.73	26.24452173	131915043	0.131915043	0.198950181	198.9501814	MRC	M	0.25	c	M_0.25_c
M_25_c	2	26244521.73	26.24452173	131915043	0.131915043	0.198950181	198.9501814	MRC	M	0.25	c	M_0.25_c
M_25_c	3	27048959.7	27.0489597	144442467	0.144442467	0.187264592	187.2645924	MRC	M	0.25	c	M_0.25_c
M_056_a	1	111983968	111.983968	309062871	0.309062871	0.362333941	362.3339409	MRC	M	0.056	a	M_0.056_a
M_056_a	2	92627535.88	92.62753588	241306611	0.241306611	0.38385826	383.8582602	MRC	M	0.056	a	M_0.056_a
M_056_a	3	92627535.88	92.62753588	241306611	0.241306611	0.38385826	383.8582602	MRC	M	0.056	a	M_0.056_a
M_056_b	1	60199477.7	60.1994777	149884761	0.149884761	0.401638414	401.6384141	MRC	M	0.056	b	M_0.056_b
M_056_b	2	71985150.28	71.98515028	190745685	0.190745685	0.377388093	377.3880928	MRC	M	0.056	b	M_0.056_b
M_056_b	3	85057042.12	85.05704212	245557650	0.24555765	0.34638319	346.3831899	MRC	M	0.056	b	M_0.056_b
M_056_c	1	46959960.74	46.95996074	142587900	0.1425879	0.329340433	329.3404331	MRC	M	0.056	c	M_0.056_c
M_056_c	2	46959960.74	46.95996074	142587900	0.1425879	0.329340433	329.3404331	MRC	M	0.056	c	M_0.056_c
M_056_c	3	46959960.74	46.95996074	142587900	0.1425879	0.329340433	329.3404331	MRC	M	0.056	c	M_0.056_c
M1_a	1	42811205.94	42.81120594	466784682	0.466784682	0.091715105	91.71510462	MRC	M	1	a	M_1_a
M1_a	2	42811205.94	42.81120594	466784682	0.466784682	0.091715105	91.71510462	MRC	M	1	a	M_1_a
M1_a	3	40200320.78	40.20032078	495032577	0.495032577	0.081207425	81.20742483	MRC	M	1	a	M_1_a
M1_b	1	40112319.91	40.11231991	523936998	0.523936998	0.076559434	76.55943379	MRC	M	1	b	M_1_b
M1_b	2	41156784.4	41.1567844	502860228	0.502860228	0.081845376	81.84537592	MRC	M	1	b	M_1_b
M1_b	3	42631945.72	42.63194572	482281683	0.482281683	0.088396361	88.39636093	MRC	M	1	b	M_1_b
M1_c	1	55304895.98	55.30489598	530015655	0.530015655	0.104345778	104.3457782	MRC	M	1	c	M_1_c
M1_c	2	58153706.34	58.15370634	493207923	0.493207923	0.117909108	117.9091082	MRC	M	1	c	M_1_c
M1_c	3	53517410.62	53.51741062	567097128	0.567097128	0.094370802	94.37080172	MRC	M	1	c	M_1_c
M2_a	1	35239730.08	35.23973008	651732432	0.651732432	0.054070855	54.07085539	MRC	M	2	a	M_2_a
M2_a	2	35239730.08	35.23973008	651732432	0.651732432	0.054070855	54.07085539	MRC	M	2	a	M_2_a
M2_a	3	33326764.77	33.32676477	672240933	0.672240933	0.049575626	49.57562554	MRC	M	2	a	M_2_a
M2_b	1	56539645.08	56.53964508	879227427	0.879227427	0.064306053	64.3060525	MRC	M	2	b	M_2_b
M2_b	2	56539645.08	56.53964508	879227427	0.879227427	0.064306053	64.3060525	MRC	M	2	b	M_2_b
M2_b	3	52473643.4	52.4736434	915849831	0.915849831	0.05729503	57.29502985	MRC	M	2	b	M_2_b
S_5_a	1	37535787.51	37.53578751	313385553	0.313385553	0.119775105	119.775105	SVERC	S	0.5	a	S_0.5_a
S_5_a	2	38047686.59	38.04768659	327254265	0.327254265	0.116263379	116.2633788	SVERC	S	0.5	a	S_0.5_a
S_5_a	3	37535787.51	37.53578751	313385553	0.313385553	0.119775105	119.775105	SVERC	S	0.5	a	S_0.5_a
S_5_b	1	23945788.88	23.94578888	222967407	0.222967407	0.107395916	107.3959159	SVERC	S	0.5	b	S_0.5_b
S_5_b	2	24588789.58	24.58878958	242493810	0.24249381	0.101399659	101.3996587	SVERC	S	0.5	b	S_0.5_b
S_5_b	3	23945788.88	23.94578888	222967407	0.222967407	0.107395916	107.3959159	SVERC	S	0.5	b	S_0.5_b
S_5_c	1	32578640.9	32.5786409	289313466	0.289313466	0.112606722	112.6067215	SVERC	S	0.5	c	S_0.5_c
S_5_c	2	33314364.69	33.31436469	313420965	0.313420965	0.106292713	106.292713	SVERC	S	0.5	c	S_0.5_c
S_5_c	3	32928962.25	32.92896225	300636921	0.300636921	0.109530666	109.5306662	SVERC	S	0.5	c	S_0.5_c
S_18_a	1	31271867.72	31.27186772	129690366	0.129690366	0.241127145	241.1271452	SVERC	S	0.18	a	S_0.18_a
S_18_a	2	32628930.41	32.62893041	142373439	0.142373439	0.229178495	229.1784945	SVERC	S	0.18	a	S_0.18_a
S_18_a	3	32628930.41	32.62893041	142373439	0.142373439	0.229178495	229.1784945	SVERC	S	0.18	a	S_0.18_a
S_18_b	1	56287928.09	56.28792809	219268686	0.219268686	0.256707554	256.7075542	SVERC	S	0.18	b	S_0.18_b
S_18_b	2	59143940.99	59.14394099	236810808	0.236810808	0.249751865	249.7518652	SVERC	S	0.18	b	S_0.18_b
S_18_b	3	59143940.99	59.14394099	236810808	0.236810808	0.249751865	249.7518652	SVERC	S	0.18	b	S_0.18_b
S_18_c	1	36497339.42	36.49733942	144708642	0.144708642	0.252212576	252.2125764	SVERC	S	0.18	c	S_0.18_c
S_18_c	2	34948625.5	34.9486255	135603546	0.135603546	0.257726487	257.7264868	SVERC	S	0.18	c	S_0.18_c
S_18_c	3	36497339.42	36.49733942	144708642	0.144708642	0.252212576	252.2125764	SVERC	S	0.18	c	S_0.18_c
S_25_a	1	26923172.12	26.92317212	149789328	0.149789328	0.179740256	179.7402557	SVERC	S	0.25	a	S_0.25_a
S_25_a	2	27603090.22	27.60309022	158065362	0.158065362	0.174630861	174.6308607	SVERC	S	0.25	a	S_0.25_a
S_25_a	3	26923172.12	26.92317212	149789328	0.149789328	0.179740256	179.7402557	SVERC	S	0.25	a	S_0.25_a
S_25_b	1	31797145.15	31.79714515	180670776	0.180670776	0.175994955	175.9949553	SVERC	S	0.25	b	S_0.25_b
S_25_b	2	31797145.15	31.79714515	180670776	0.180670776	0.175994955	175.9949553	SVERC	S	0.25	b	S_0.25_b
S_25_b	3	31797145.15	31.79714515	180670776	0.180670776	0.175994955	175.9949553	SVERC	S	0.25	b	S_0.25_b
S_25_c	1	25904383.23	25.90438323	186848766	0.186848766	0.138638236	138.6382355	SVERC	S	0.25	c	S_0.25_c
S_25_c	2	25819759.73	25.81975973	177717345	0.177717345	0.145285536	145.285536	SVERC	S	0.25	c	S_0.25_c
S_25_c	3	25904383.23	25.90438323	186848766	0.186848766	0.138638236	138.6382355	SVERC	S	0.25	c	S_0.25_c
S_056_a	1	48743520.07	48.74352007	136791720	0.13679172	0.356333849	356.3338488	SVERC	S	0.056	a	S_0.056_a
S_056_a	2	45138473.69	45.13847369	121401072	0.121401072	0.37181281	371.8128098	SVERC	S	0.056	a	S_0.056_a
S_056_a	3	45138473.69	45.13847369	121401072	0.121401072	0.37181281	371.8128098	SVERC	S	0.056	a	S_0.056_a
S_056_b	1	30534236.82	30.53423682	151882692	0.151882692	0.201038291	201.0382909	SVERC	S	0.056	b	S_0.056_b
S_056_b	2	33709366.42	33.70936642	130134849	0.130134849	0.259034123	259.0341225	SVERC	S	0.056	b	S_0.056_b
S_056_b	3	33709366.42	33.70936642	130134849	0.130134849	0.259034123	259.0341225	SVERC	S	0.056	b	S_0.056_b
S_056_c	1	60183188.42	60.18318842	151724976	0.151724976	0.396659733	396.6597326	SVERC	S	0.056	c	S_0.056_c
S_056_c	2	70988261.89	70.98826189	183298245	0.183298245	0.387282824	387.2828236	SVERC	S	0.056	c	S_0.056_c
S_056_c	3	60183188.42	60.18318842	151724976	0.151724976	0.396659733	396.6597326	SVERC	S	0.056	c	S_0.056_c
S1_a	1	21579296.75	21.57929675	287686620	0.28768662	0.075009734	75.00973369	SVERC	S	1	a	S_1_a
S1_a	2	22221415.68	22.22141568	269815767	0.269815767	0.082357736	82.35773591	SVERC	S	1	a	S_1_a
S1_a	3	21579296.75	21.57929675	287686620	0.28768662	0.075009734	75.00973369	SVERC	S	1	a	S_1_a
S1_b	1	40811018.61	40.81101861	401547354	0.401547354	0.101634386	101.6343856	SVERC	S	1	b	S_1_b
S1_b	2	40811018.61	40.81101861	401547354	0.401547354	0.101634386	101.6343856	SVERC	S	1	b	S_1_b
S1_b	3	40811018.61	40.81101861	401547354	0.401547354	0.101634386	101.6343856	SVERC	S	1	b	S_1_b
S1_c	1	37788276.21	37.78827621	527265180	0.52726518	0.071668446	71.66844625	SVERC	S	1	c	S_1_c
S1_c	2	34991728.93	34.99172893	586381692	0.586381692	0.059673979	59.67397926	SVERC	S	1	c	S_1_c
S1_c	3	36115112.88	36.11511288	555678006	0.555678006	0.064992878	64.99287805	SVERC	S	1	c	S_1_c
S2_a	1	39868474.31	39.86847431	1123962489	1.123962489	0.035471357	35.47135665	SVERC	S	2	a	S_2_a
S2_a	2	48499906.88	48.49990688	1054014897	1.054014897	0.046014442	46.01444156	SVERC	S	2	a	S_2_a
S2_a	3	38352073.68	38.35207368	1146437721	1.146437721	0.033453255	33.45325523	SVERC	S	2	a	S_2_a
S2_b	1	67530300.97	67.53030097	1467031995	1.467031995	0.046031921	46.03192105	SVERC	S	2	b	S_2_b
S2_b	2	67530300.97	67.53030097	1467031995	1.467031995	0.046031921	46.03192105	SVERC	S	2	b	S_2_b
S2_b	3	77519693.94	77.51969394	1415464479	1.415464479	0.054766259	54.76625877	SVERC	S	2	b	S_2_b
S2_c	1	69131033.37	69.13103337	1217889504	1.217889504	0.056762977	56.76297656	SVERC	S	2	c	S_2_c
S2_c	2	69131033.37	69.13103337	1217889504	1.217889504	0.056762977	56.76297656	SVERC	S	2	c	S_2_c
S2_c	3	69131033.37	69.13103337	1217889504	1.217889504	0.056762977	56.76297656	SVERC	S	2	c	S_2_c
