Soil ID Size Rep.y id_new meanS meanSV meanW meanSW meanSVW minSW minSVW indexA indexB
1 MRC M_056_a 0.056 a M_0.056_a 99079679.92 0.376683487 30.3 3269.9564330033 0.0124317982508251 552.748801544196 0.000762226879868799 5.91580917745662 16.3098397329742
2 MRC M_056_b 0.056 b M_0.056_b 72413890.0333333 0.375136565666667 18 4022.99389074074 0.0208409203148148 552.748801544196 0.000762226879868799 7.27815940894279 27.3421482044849
3 MRC M_056_c 0.056 c M_0.056_c 46959960.74 0.329340433 12.9 3640.30703410853 0.025530266124031 552.748801544196 0.000762226879868799 6.58582528616746 33.4943135676683
4 MRC M_18_a 0.18 a M_0.18_a 107011983.18 0.242996705666667 40.7 2629.28705601966 0.00597043502866503 552.748801544196 0.000762226879868799 4.75674854232936 7.83288438960945
5 MRC M_18_b 0.18 b M_0.18_b 44068331.68 0.262091753 17.3 2547.30240924855 0.0151498123121387 552.748801544196 0.000762226879868799 4.60842683354942 19.8757256038339
6 MRC M_18_c 0.18 c M_0.18_c 33086772.76 0.301822324 13.8 2397.59222898551 0.0218711828985507 552.748801544196 0.000762226879868799 4.33758014904317 28.6937963960486
7 MRC M_25_a 0.25 a M_0.25_a 42567693.8666667 0.166428887666667 26 1637.21899487179 0.00640111106410256 552.748801544196 0.000762226879868799 2.96195847064336 8.39790780561869
8 MRC M_25_b 0.25 b M_0.25_b 31736406.8166667 0.168442258666667 19.4 1635.89725859107 0.00868259065292096 552.748801544196 0.000762226879868799 2.95956726458911 11.3910843112952
9 MRC M_25_c 0.25 c M_0.25_c 26512667.72 0.195054984666667 13.4 1978.55729253731 0.0145563421393035 552.748801544196 0.000762226879868799 3.57948725896806 19.0971251785414
10 MRC M_5_a 0.5 a M_0.5_a 46838355.0266667 0.137939393333333 40.4 1159.36522343234 0.00341434141914191 552.748801544196 0.000762226879868799 2.09745406990203 4.47942930027556
11 MRC M_5_b 0.5 b M_0.5_b 36393021.29 0.130912631666667 29.2 1246.33634554795 0.00448330930365297 552.748801544196 0.000762226879868799 2.254797010986 5.88185673066879
