Soil ID Size Rep.y id_new meanS meanSV meanW meanSW meanSVW minSW minSVW indexA indexB
12 MRC M_5_c 0.5 c M_0.5_c 28184658.14 0.129642032 22.1 1275.32389773756 0.00586615529411765 552.748801544196 0.000762226879868799 2.30723955289406 7.69607507823311
13 MRC M1_a 1 a M_1_a 41940910.8866667 0.088212545 43.3 968.612260662048 0.00203724122401848 552.748801544196 0.000762226879868799 1.75235524338735 2.67274912211066
14 MRC M1_b 1 b M_1_b 41300350.01 0.082267057 49.6 832.668346975806 0.00165861002016129 552.748801544196 0.000762226879868799 1.50641366322208 2.17600568015495
15 MRC M1_c 1 c M_1_c 55658670.98 0.105541896 51.5 1080.75089281553 0.0020493572038835 552.748801544196 0.000762226879868799 1.95522973509174 2.68864462538536
16 MRC M2_a 2 a M_2_a 34602074.9766667 0.0525724453333333 62.6 552.748801544196 0.000839815420660277 552.748801544196 0.000762226879868799 1 1.10179192421662
17 MRC M2_b 2 b M_2_b 55184311.1866667 0.0619690453333333 81.3 678.773815334153 0.000762226879868799 552.748801544196 0.000762226879868799 1.22799690101161 1
18 SVERC S_056_a 0.056 a S_0.056_a 46340155.8166667 0.366653156333333 10.2 4543.15253104575 0.035946387875817 391.112515030864 0.000354750166666667 11.6159732978303 101.328741332469
19 SVERC S_056_b 0.056 b S_0.056_b 32650989.8866667 0.239702179 10.2 3201.07743986928 0.023500213627451 391.112515030864 0.000354750166666667 8.18454362069358 66.2444047546634
20 SVERC S_056_c 0.056 c S_0.056_c 63784879.5766667 0.393534096666667 12.3 5185.76256720867 0.0319946420054201 391.112515030864 0.000354750166666667 13.2590044243392 90.1892233231369
21 SVERC S_18_a 0.18 a S_0.18_a 32176576.18 0.233161378333333 12.7 2533.58867559055 0.018359163648294 391.112515030864 0.000354750166666667 6.47790233813054 51.752374976457
22 SVERC S_18_b 0.18 b S_0.18_b 58191936.69 0.252070428 19.6 2968.97636173469 0.012860736122449 391.112515030864 0.000354750166666667 7.59110549428571 36.2529389155532
23 SVERC S_18_c 0.18 c S_0.18_c 35981101.4466667 0.254050546333333 10.8 3331.58346728395 0.0235231987345679 391.112515030864 0.000354750166666667 8.51822260666101 66.3091971332912
24 SVERC S_25_a 0.25 a S_0.25_a 27149811.4866667 0.178037124333333 14.3 1898.58821585082 0.0124501485547786 391.112515030864 0.000354750166666667 4.85432744513683 35.0955396913938
25 SVERC S_25_b 0.25 b S_0.25_b 31797145.15 0.175994955 18 1766.50806388889 0.0097774975 391.112515030864 0.000354750166666667 4.51662372335359 27.5616431469847
26 SVERC S_25_c 0.25 c S_0.25_c 25876175.3966667 0.140854002666667 15.7 1648.16403800425 0.00897159252653928 391.112515030864 0.000354750166666667 4.21404065240455 25.2898895322275
27 SVERC S_5_a 0.5 a S_0.5_a 37706420.5366667 0.118604529666667 32.2 1171.0068489648 0.00368337048654244 391.112515030864 0.000354750166666667 2.99404085515493 10.3829986075903
28 SVERC S_5_b 0.5 b S_0.5_b 24160122.4466667 0.105397163666667 22.1 1093.21821025641 0.00476910242835596 391.112515030864 0.000354750166666667 2.795150163298 13.4435523263253
29 SVERC S_5_c 0.5 c S_0.5_c 32940655.9466667 0.109476700333333 26.3 1252.49642382763 0.00416261217997465 391.112515030864 0.000354750166666667 3.20239413389467 11.7339259318402
30 SVERC S1_a 1 a S_1_a 21793336.3933333 0.077459068 25 871.733455733333 0.00309836272 391.112515030864 0.000354750166666667 2.22885594868919 8.73392886355233
31 SVERC S1_b 1 b S_1_b 40811018.61 0.101634386 44 927.523150227273 0.00230987240909091 391.112515030864 0.000354750166666667 2.37149954190057 6.51126518359421
32 SVERC S1_c 1 c S_1_c 36298372.6733333 0.065445101 53.2 682.300238220551 0.00123017107142857 391.112515030864 0.000354750166666667 1.7445113924997 3.46771104574131
33 SVERC S2_a 2 a S_2_a 42240151.6233333 0.038313018 108 391.112515030864 0.000354750166666667 391.112515030864 0.000354750166666667 1 1
34 SVERC S2_b 2 b S_2_b 70860098.6266667 0.048943367 132.7 533.987178799297 0.00036882718161266 391.112515030864 0.000354750166666667 1.36530322676368 1.03968148930912
35 SVERC S2_c 2 c S_2_c 69131033.37 0.056762977 116.1 595.443870542636 0.000488914530577089 391.112515030864 0.000354750166666667 1.52243624956784 1.3781939418692
