"M_056_a_AOB_S14_L001_trim_filt_F.fastq.gz"	"M_056_b_AOB_S62_L001_trim_filt_F.fastq.gz"	"M_056_c_AOB_S55_L001_trim_filt_F.fastq.gz"	"M_18_a_AOB_S58_L001_trim_filt_F.fastq.gz"	"M_18_b_AOB_S42_L001_trim_filt_F.fastq.gz"	"M_18_c_AOB_S47_L001_trim_filt_F.fastq.gz"	"M_25_a_AOB_S8_L001_trim_filt_F.fastq.gz"	"M_25_b_AOB_S24_L001_trim_filt_F.fastq.gz"	"M_25_c_AOB_S4_L001_trim_filt_F.fastq.gz"	"M_5_a_AOB_S52_L001_trim_filt_F.fastq.gz"	"M_5_b_AOB_S15_L001_trim_filt_F.fastq.gz"	"M_5_c_AOB_S10_L001_trim_filt_F.fastq.gz"	"M1_a_AOB_S34_L001_trim_filt_F.fastq.gz"	"M1_b_AOB_S5_L001_trim_filt_F.fastq.gz"	"M1_c_AOB_S17_L001_trim_filt_F.fastq.gz"	"M2_a_AOB_S46_L001_trim_filt_F.fastq.gz"	"M2_b_AOB_S68_L001_trim_filt_F.fastq.gz"	"M2_c_AOB_S32_L001_trim_filt_F.fastq.gz"	"Mmin_a_AOB_S11_L001_trim_filt_F.fastq.gz"	"Mmin_b_AOB_S39_L001_trim_filt_F.fastq.gz"	"Mmin_c_AOB_S1_L001_trim_filt_F.fastq.gz"	"S_056_a_AOB_S35_L001_trim_filt_F.fastq.gz"	"S_056_b_AOB_S20_L001_trim_filt_F.fastq.gz"	"S_056_c_AOB_S19_L001_trim_filt_F.fastq.gz"	"S_18_a_AOB_S3_L001_trim_filt_F.fastq.gz"	"S_18_b_AOB_S25_L001_trim_filt_F.fastq.gz"	"S_18_c_AOB_S69_L001_trim_filt_F.fastq.gz"	"S_25_a_AOB_S27_L001_trim_filt_F.fastq.gz"	"S_25_b_AOB_S80_L001_trim_filt_F.fastq.gz"	"S_25_c_AOB_S79_L001_trim_filt_F.fastq.gz"	"S_5_a_AOB_S22_L001_trim_filt_F.fastq.gz"	"S_5_b_AOB_S13_L001_trim_filt_F.fastq.gz"	"S_5_c_AOB_S56_L001_trim_filt_F.fastq.gz"	"S1_a_AOB_S67_L001_trim_filt_F.fastq.gz"	"S1_b_AOB_S45_L001_trim_filt_F.fastq.gz"	"S1_c_AOB_S78_L001_trim_filt_F.fastq.gz"	"S2_a_AOB_S48_L001_trim_filt_F.fastq.gz"	"S2_b_AOB_S44_L001_trim_filt_F.fastq.gz"	"S2_c_AOB_S30_L001_trim_filt_F.fastq.gz"	"Smin_a_AOB_S41_L001_trim_filt_F.fastq.gz"	"Smin_b_AOB_S21_L001_trim_filt_F.fastq.gz"	"Smin_c_AOB_S61_L001_trim_filt_F.fastq.gz"
"ASV70"	0	0	0	0	0	0	0	0	0	0	0	0	0	997	0	0	0	2373	0	0	0	42	906	0	125	0	104	0	131	124	820	0	0	222	0	344	132	0	47	642	190	110
"ASV71"	434	249	220	332	0	72	0	546	426	0	139	63	0	22	17	0	0	0	0	158	128	155	176	250	344	302	182	121	160	422	257	406	183	199	178	75	133	14	109	459	82	232
"ASV72"	268	301	0	1160	220	150	92	0	132	206	278	345	805	148	427	548	635	569	373	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	37	0	0	120
"ASV73"	317	384	597	0	359	360	302	364	697	0	965	0	50	170	163	361	278	78	778	415	474	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV74"	320	0	266	0	438	160	0	66	40	56	0	386	36	282	276	182	1779	312	1220	127	188	0	0	0	0	0	0	0	19	0	41	0	11	0	24	15	40	3	498	0	0	159
"ASV75"	46	0	71	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	301	168	228	359	416	483	364	329	383	734	366	157	180	447	76	134	229	536	201	306
"ASV76"	422	352	284	102	0	104	0	213	246	873	699	204	844	223	429	362	664	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV77"	177	207	227	382	359	40	295	321	451	380	308	120	222	228	1077	515	592	329	62	141	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV78"	9	117	0	0	0	0	3	0	0	0	0	0	0	0	0	0	82	0	84	0	0	353	556	364	168	144	176	348	133	405	206	521	135	160	311	283	74	219	222	600	392	252
"ASV79"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	219	617	392	192	485	100	0	80	72	340	108	103	481	607	334	480	155	287	216	543
"ASV80"	44	2	0	383	120	0	510	673	971	106	1907	96	0	378	0	318	0	163	5	343	34	0	0	0	0	1	0	0	0	2	1	0	0	0	4	0	0	0	7	0	0	0
"ASV81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	234	75	93	111	185	180	60	84	304	376	512	205	151	213	1201	776	528	0	195	177
"ASV82"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	251	495	333	194	448	241	302	412	488	321	240	215	331	210	50	307	69	100	190	262
"ASV83"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	201	50	452	0	26	129	122	171	111	506	335	0	338	129	759	163	942	718	128	485
"ASV84"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	603	105	301	87	442	201	106	933	226	520	474	55	216	325	348	63	75	206	238	136	141
"ASV85"	186	161	178	252	40	121	0	290	141	62	420	28	93	95	295	164	136	57	366	166	55	102	0	41	104	109	88	6	79	119	328	111	93	349	34	35	138	372	191	0	104	0
"ASV86"	0	0	162	0	512	0	170	0	0	63	224	102	370	71	54	0	0	0	174	0	0	162	279	233	331	0	0	0	107	303	95	0	235	71	237	103	0	162	153	333	300	570
"ASV87"	44	283	0	68	35	235	326	136	0	78	251	224	695	351	1009	182	830	446	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV88"	0	210	0	0	0	0	0	0	0	0	0	61	0	156	0	0	45	48	0	84	0	108	418	67	53	215	86	123	59	270	119	133	295	30	844	0	488	138	916	106	192	0
"ASV89"	0	0	0	0	0	0	0	0	0	80	0	0	0	18	0	0	0	0	0	0	0	167	243	135	105	71	180	86	279	117	462	110	238	113	199	69	459	250	186	865	603	228
"ASV90"	41	74	432	387	103	545	804	210	0	92	468	86	154	94	279	180	123	43	243	614	141	0	0	0	71	0	0	0	5	0	0	0	16	0	24	2	0	0	15	0	0	0
"ASV91"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	153	185	914	226	515	0	119	139	0	75	580	0	285	427	148	630	173	92	148	0
"ASV92"	36	546	139	0	18	212	308	198	1	669	0	11	325	88	874	6	90	719	23	265	9	0	0	0	0	0	0	0	0	0	0	0	0	0	145	1	41	184	48	0	0	0
"ASV93"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	0	201	261	287	82	214	138	246	514	252	104	285	0	570	228	27	69	125	341	262
"ASV94"	0	160	0	155	87	185	225	143	115	0	410	167	663	207	480	581	481	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	46
"ASV95"	1	4	889	65	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	5	243	214	62	17	55	51	213	525	171	131	597	157	93	234	12	5	363	22	163	109
"ASV96"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	253	76	171	39	317	142	0	206	103	258	297	160	147	252	355	124	537	66	17	173
"ASV97"	0	0	532	0	71	131	0	160	0	87	515	0	464	459	197	0	260	129	0	267	101	133	19	0	70	0	0	0	0	0	41	0	0	0	100	0	116	37	579	0	21	49
"ASV98"	0	0	113	186	0	154	0	0	938	160	110	276	102	0	273	130	591	466	737	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	254	60	232	65	156	0	117	229	80	197	122	234	465	277	47	214	252	326	199	367
"ASV100"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	636	152	189	257	50	20	267	286	0	499	380	101	82	82	23	0	122	357	523	298
"ASV101"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	725	89	196	151	174	90	162	100	44	123	215	104	242	200	48	320	215	194	201	248	294
"ASV102"	64	4	298	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	175	315	143	194	316	269	231	94	175	265	33	50	62	424	231	50	48	64	259	100	322
"ASV103"	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	86	0	0	0	0	0	0	210	75	47	383	324	0	0	60	91	810	80	0	61	197	0	77	0	90	0	1379
"ASV104"	0	698	0	5	326	4	0	1009	0	195	0	46	120	2	369	447	1	336	0	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0
"ASV105"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	163	274	242	281	217	0	0	321	208	244	266	417	356	353	343	0	0	0	0
"ASV106"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	866	151	104	253	158	154	148	87	109	122	242	0	380	86	169	0	325	102	333	172	0
"ASV107"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	337	149	310	63	361	429	220	80	0	55	385	44	126	91	65	0	13	170	45	492
"ASV108"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	127	65	14	410	68	65	0	0	113	112	174	272	221	85	125	311	516	146	218	203
"ASV109"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	428	210	457	42	118	222	103	0	79	170	181	0	893	0	0	0	192	571
"ASV110"	0	88	0	187	0	0	0	102	0	47	40	0	0	0	0	0	69	0	0	0	121	189	215	321	86	70	79	92	256	293	228	354	57	75	63	62	161	3	49	0	228	256
"ASV111"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	263	465	0	82	185	193	241	151	0	0	27	163	193	112	229	209	0	581	265	219
"ASV112"	2	3	7	3	0	0	0	0	0	57	69	16	195	58	516	355	152	174	4	29	1	359	0	0	38	0	0	40	160	0	176	240	99	279	127	0	0	205	112	0	2	194
"ASV113"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	203	148	53	201	335	196	69	244	170	0	267	0	159	100	114	623	0	373	199	87
"ASV114"	357	120	166	287	238	285	292	184	135	92	430	149	0	108	90	0	339	224	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV115"	0	203	20	385	56	90	0	0	151	0	0	31	113	59	144	143	115	58	0	0	133	74	128	63	122	51	83	118	0	53	260	94	126	51	96	41	74	48	39	154	0	124
"ASV116"	0	0	142	0	0	138	479	0	182	108	0	152	92	48	143	212	268	148	449	112	0	19	0	0	25	203	19	0	0	0	0	0	0	23	77	0	0	97	217	0	50	81
"ASV117"	1	101	10	1	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	55	74	296	44	233	127	117	37	114	63	165	80	194	362	142	158	64	714	134	57	110
"ASV118"	196	256	188	0	0	0	0	0	141	578	122	223	234	139	164	351	0	228	0	149	321	0	0	39	0	0	0	0	0	0	0	0	0	37	0	0	0	0	45	0	0	0
"ASV119"	914	0	0	0	351	172	0	124	262	0	0	0	84	0	0	74	38	607	138	321	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV120"	0	77	138	40	261	0	91	103	397	0	187	0	185	291	251	807	363	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	241	274	0	150	238	128	183	120	189	0	139	162	161	94	222	176	0	226	0	407
"ASV122"	0	0	0	0	0	1031	0	0	0	0	0	217	0	709	0	0	0	0	0	0	0	225	89	0	76	0	108	208	0	0	0	104	29	0	0	50	54	21	38	26	0	246
"ASV123"	0	0	0	0	0	198	124	214	130	0	0	0	222	0	90	0	0	59	80	208	66	313	229	387	98	99	0	94	85	0	0	0	203	105	0	75	0	0	0	0	88	0
"ASV124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	225	86	171	304	164	66	577	0	256	231	0	182	220	0	184	0	159	50	0	0
"ASV125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	169	0	0	0	328	0	104	1070	0	0	207	0	0	152	0	273	171	184	0	261
"ASV126"	1	395	57	121	246	135	269	136	555	120	0	168	88	73	37	161	142	30	0	162	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
"ASV127"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	198	0	0	65	105	0	67	502	142	117	30	165	0	628	397	73	156	381	0
"ASV128"	185	249	171	172	176	126	175	0	296	0	212	228	148	0	0	146	0	110	210	250	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV129"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	109	0	0	222	206	85	0	107	229	100	82	265	129	0	251	467	394	0	0	250
"ASV130"	142	220	169	153	0	0	606	447	190	0	0	0	0	0	0	0	0	233	601	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV131"	0	113	0	1	0	35	0	1	634	24	0	0	111	221	0	314	46	0	513	3	0	0	0	30	0	43	211	0	0	73	140	0	0	0	120	205	0	66	59	0	0	0
"ASV132"	113	0	197	391	256	87	682	147	158	121	164	82	0	0	0	120	173	108	0	110	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV133"	0	0	161	0	105	31	157	0	289	123	50	24	193	62	708	165	656	0	170	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV134"	0	2181	0	0	123	0	252	0	0	0	82	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0
"ASV135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	230	0	268	0	193	0	161	0	190	164	344	211	369	174	0	0	143	240
"ASV136"	0	0	0	223	0	0	0	0	0	0	0	0	322	20	0	0	0	2055	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
"ASV137"	6	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	127	0	149	164	52	547	43	448	0	63	104	465	0	0	81	303	175	0	122
"ASV138"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	160	121	298	103	143	404	321	114	213	178	0	57	198	21	36	0	93	99	151
"ASV139"	0	0	113	0	0	0	712	0	429	0	0	0	48	79	89	191	258	202	0	0	0	0	26	0	0	61	0	4	0	0	0	0	0	0	85	41	52	176	60	24	90	94
"ASV140"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	722	0	1061	0	0	0	80	0	0	0	0	0	266	267	0	165
"ASV141"	180	0	0	103	0	67	0	3	0	0	160	339	487	303	1	1	182	83	0	257	0	0	0	0	0	0	0	151	0	0	119	0	0	0	149	88	0	0	123	0	0	0
"ASV142"	250	88	2	238	58	95	152	0	146	12	79	42	18	15	24	128	9	248	10	239	30	60	0	0	18	0	0	27	72	0	187	54	29	144	87	0	0	36	105	0	90	0
"ASV143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	27	86	0	0	309	219	151	68	191	218	147	62	148	80	194	459	185	0	103
"ASV144"	0	0	0	0	0	101	149	0	237	0	0	207	917	101	558	0	65	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
"ASV145"	0	0	228	0	156	0	359	0	0	0	477	323	78	0	0	57	582	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV146"	0	0	122	0	46	113	216	0	169	0	0	207	239	0	0	0	631	0	0	0	0	28	0	189	34	0	0	0	158	0	61	0	0	44	0	267	0	0	0	0	38	53
"ASV147"	0	0	82	0	0	0	92	0	144	104	0	78	0	370	0	306	217	235	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV148"	0	0	9	0	0	0	2	0	0	0	0	31	96	1	6	0	109	0	0	241	0	183	61	167	0	105	157	0	25	0	127	0	28	169	95	69	262	438	57	0	0	0
"ASV149"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	126	64	49	0	0	0	782	446	0	0	0	0	0	123	64	0	743	0
"ASV150"	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	31	334	84	95	0	0	0	190	0	233	299	93	81	573	0	43
"ASV151"	1	0	4	0	0	416	0	0	364	0	0	0	61	366	0	0	42	1	205	9	0	7	1	33	62	30	127	0	1	0	124	13	12	104	57	77	5	74	77	61	0	0
"ASV152"	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	356	0	0	0	0	0	0	60	45	117	0	0	0	108	59	225	0	47	363	344	40	182	15	17	65	0	0
"ASV153"	0	0	0	239	0	78	62	13	0	212	0	0	156	0	0	0	110	0	0	0	0	76	0	287	31	0	0	0	0	30	90	111	47	0	55	0	65	0	0	240	0	214
"ASV154"	187	0	142	59	145	149	0	0	0	65	97	137	133	129	215	166	115	92	71	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV155"	194	0	0	0	312	236	0	0	0	187	158	134	0	247	144	294	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV156"	104	407	1	46	108	10	111	1	0	26	63	3	130	168	77	139	346	190	2	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV157"	0	0	0	0	82	0	475	0	81	12	0	0	147	0	0	0	288	212	186	0	282	0	0	139	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0
"ASV158"	125	16	1	5	281	49	0	0	0	7	133	68	78	21	153	164	88	29	147	183	2	123	0	0	32	0	0	72	0	0	69	0	0	0	0	0	0	95	0	0	0	39
"ASV159"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	45	92	0	88	74	75	109	0	72	305	149	128	49	130	62	115	85	0	44	0
"ASV160"	0	0	0	116	0	0	0	0	0	0	0	0	328	0	0	350	965	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV161"	110	157	100	86	132	75	100	0	190	0	106	132	150	0	0	51	0	98	109	206	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV162"	0	0	0	251	0	0	0	147	0	0	0	0	0	37	0	0	0	0	0	0	0	32	0	0	87	0	34	0	0	0	162	424	0	0	0	146	0	0	44	0	0	486
"ASV163"	0	40	90	667	1	10	61	3	2	0	0	5	73	494	0	20	5	70	6	131	1	0	0	12	0	0	0	5	4	0	20	0	1	0	8	17	1	0	83	0	0	0
"ASV164"	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	211	0	0	46	0	63	67	211	0	67	37	0	63	0	308	0	70	223	0	55	281	0	44	0
"ASV165"	103	0	115	260	0	44	128	74	0	0	0	113	0	0	54	0	214	230	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	42
"ASV166"	0	123	103	0	0	0	0	178	206	112	339	102	0	156	107	192	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV167"	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	70	29	0	169	0	27	0	86	191	15	98	113	289	0	0	356	0	36	0	0	46
"ASV168"	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	103	11	0	0	34	0	79	145	93	72	134	0	154	105	432	132	0	43
"ASV169"	0	5	0	217	46	1	153	0	8	1	103	0	84	256	96	127	86	73	0	0	0	80	0	0	0	0	0	137	0	0	7	2	0	44	97	0	0	4	16	0	3	27
"ASV170"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	316	0	0	0	0	346	155	0	151	121	0	0	0	0	0	0	155	162
"ASV171"	0	30	86	0	0	149	0	44	0	98	48	79	190	28	96	154	78	28	469	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV172"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	846	0	0	79	0	52	0	162	65	0	42	67	0	0	0	0	0
"ASV173"	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648	61	165	0	0	0	0	47	0	0	0	0	0	0	0	0
"ASV174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	307	0	102	0	59	117	0	122	122	60	33	140	77	80	114	59	0	0	46	0
"ASV175"	0	239	0	0	0	0	232	0	0	200	0	0	0	58	250	0	0	208	311	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV176"	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	46	260	40	97	65	195	0	0	17
"ASV177"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	225	0	0	0	0	0	223	85	156	0	316	0	0	0	229	213
"ASV178"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	145	98	167	0	0	123	0	0	122	101	239	141	0	0	178	0	0	0	0	100
"ASV179"	0	5	1	0	0	0	0	0	0	0	189	0	0	2	2	0	1	0	0	0	0	78	0	12	0	22	52	42	0	0	60	291	0	130	0	32	180	211	19	54	71	52
"ASV180"	0	0	2	0	0	0	82	217	13	0	0	0	1	3	5	6	4	569	0	0	0	0	38	0	0	0	0	135	0	101	0	0	0	0	1	112	2	46	19	59	74	0
"ASV181"	937	0	0	0	0	74	393	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV182"	390	181	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	32	25	0	75	1	46	114	34	52	0	41	228
"ASV183"	0	0	65	0	0	0	209	0	0	87	0	0	0	0	208	219	0	0	0	100	0	0	0	0	0	61	0	0	0	17	0	0	0	19	260	0	0	0	153	16	30	0
"ASV184"	0	0	0	698	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	64	0	0	0
"ASV185"	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	171	204	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV186"	0	0	0	0	0	433	0	40	0	0	323	0	24	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	80	90	0	0	91
"ASV187"	0	0	0	0	0	0	99	0	0	0	62	7	1192	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV188"	0	15	133	51	55	53	51	18	15	66	121	64	141	68	108	120	138	113	0	55	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV189"	0	69	0	134	147	0	128	0	150	97	0	0	167	0	0	115	61	163	79	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV190"	0	99	0	0	0	100	0	0	0	0	0	44	71	0	56	115	0	0	0	0	0	83	0	0	75	0	0	0	0	0	200	0	269	0	0	0	0	91	169	0	0	0
"ASV191"	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	172	0	104	0	0	0	0	144	157	222	0	154	146	117	0	0	0	104	0	0
"ASV192"	78	0	0	0	88	0	0	0	0	97	124	44	101	84	185	78	137	111	0	96	108	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV193"	0	0	205	0	0	0	0	0	0	0	0	0	0	55	0	295	66	261	52	0	0	0	0	0	0	0	0	0	0	106	0	0	0	39	0	0	0	0	136	0	68	0
"ASV194"	0	243	0	0	0	3	0	86	19	0	5	5	24	7	20	58	6	26	0	0	94	0	0	6	0	48	0	0	0	0	0	72	50	0	0	27	65	249	81	0	71	0
"ASV195"	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	65	0	0	0	482	346	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
"ASV196"	0	0	0	0	216	0	69	200	50	0	52	0	153	0	0	0	0	0	0	236	204	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV197"	129	0	0	0	122	0	0	0	0	198	0	0	0	0	205	0	0	177	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV198"	0	0	0	0	0	0	155	166	0	57	0	94	181	68	41	100	44	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0
"ASV199"	0	0	0	0	0	0	0	0	0	0	0	446	0	458	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV200"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	730	0	0	40	0	0	0	0	0	0	0	0	0	173	49	32	0	208	0	0	0
"ASV201"	0	0	0	62	0	530	0	241	0	136	0	0	46	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV202"	177	0	264	71	0	131	0	175	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	3	2	1	12	2	7	0	5	0	7	0	0	1	37	0	0	1
"ASV203"	0	0	0	289	0	0	0	225	0	0	0	46	69	215	0	0	289	0	0	0	0	0	0	16	0	0	0	0	0	0	0	28	0	0	0	0	5	3	32	0	0	0
"ASV204"	0	120	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	46	0	0	315	70	71	67	0	67	43	0	77	69	55	0	0	0	0	141	0
"ASV205"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0
"ASV206"	0	0	0	56	338	94	0	0	0	131	0	0	0	199	0	41	0	85	206	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV207"	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	190	0	0	0	0	0	155	0	0	80	0	0	33	14	11	15	47	61	59	136	64	50	135	53	0
