well,sample_type,sample_name,starting_copies,rep,Soil,Size
A05,sample,Mont_1500,,1,MRC,1
A07,sample,Mont_1500,,2,MRC,1
A09,sample,Mont_1500,,3,MRC,1
D05,sample,Mont_160,,1,MRC,0.16
D07,sample,Mont_160,,2,MRC,0.16
D09,sample,Mont_160,,3,MRC,0.16
H04,sample,Mont_2000,,1,MRC,2
H06,sample,Mont_2000,,2,MRC,2
H08,sample,Mont_2000,,3,MRC,2
C05,sample,Mont_250,,1,MRC,0.25
C07,sample,Mont_250,,2,MRC,0.25
C09,sample,Mont_250,,3,MRC,0.25
B05,sample,Mont_500,,1,MRC,0.5
B07,sample,Mont_500,,2,MRC,0.5
B09,sample,Mont_500,,3,MRC,0.5
E05,sample,Mont_56,,1,MRC,0.056
E07,sample,Mont_56,,2,MRC,0.056
E09,sample,Mont_56,,3,MRC,0.056
F05,sample,Mont_below_56,,1,MRC,0.05
F07,sample,Mont_below_56,,2,MRC,0.05
F09,sample,Mont_below_56,,3,MRC,0.05
G05,NTC,NTC,,1,,
G07,NTC,NTC,,2,,
G09,NTC,NTC,,3,,
H01,standard,std_10e2,6.20E+02,1,,
H02,standard,std_10e2,6.20E+02,2,,
H03,standard,std_10e2,6.20E+02,3,,
G01,standard,std_10e3,6.20E+03,1,,
G02,standard,std_10e3,6.20E+03,2,,
G03,standard,std_10e3,6.20E+03,3,,
F01,standard,std_10e4,6.20E+04,1,,
F02,standard,std_10e4,6.20E+04,2,,
F03,standard,std_10e4,6.20E+04,3,,
E01,standard,std_10e5,6.20E+05,1,,
E02,standard,std_10e5,6.20E+05,2,,
E03,standard,std_10e5,6.20E+05,3,,
D01,standard,std_10e6,6.20E+06,1,,
D02,standard,std_10e6,6.20E+06,2,,
D03,standard,std_10e6,6.20E+06,3,,
C01,standard,std_10e7,6.20E+07,1,,
C02,standard,std_10e7,6.20E+07,2,,
C03,standard,std_10e7,6.20E+07,3,,
B01,standard,std_10e8,6.20E+08,1,,
B02,standard,std_10e8,6.20E+08,2,,
B03,standard,std_10e8,6.20E+08,3,,
A01,standard,std_10e9,6.20E+09,1,,
A02,standard,std_10e9,6.20E+09,2,,
A03,standard,std_10e9,6.20E+09,3,,
B04,sample,SVREC_1500,,1,SVERC,1
B06,sample,SVREC_1500,,2,SVERC,1
B08,sample,SVREC_1500,,3,SVERC,1
E04,sample,SVREC_160,,1,SVERC,0.16
E06,sample,SVREC_160,,2,SVERC,0.16
E08,sample,SVREC_160,,3,SVERC,0.16
A04,sample,SVREC_2000,,1,SVERC,2
A06,sample,SVREC_2000,,2,SVERC,2
A08,sample,SVREC_2000,,3,SVERC,2
D04,sample,SVREC_250,,1,SVERC,0.25
D06,sample,SVREC_250,,2,SVERC,0.25
D08,sample,SVREC_250,,3,SVERC,0.25
C04,sample,SVREC_500,,1,SVERC,0.5
C06,sample,SVREC_500,,2,SVERC,0.5
C08,sample,SVREC_500,,3,SVERC,0.5
F04,sample,SVREC_56,,1,SVERC,0.056
F06,sample,SVREC_56,,2,SVERC,0.056
F08,sample,SVREC_56,,3,SVERC,0.056
G04,sample,SVREC_below_56,,1,SVERC,0.05
G06,sample,SVREC_below_56,,2,SVERC,0.05
G08,sample,SVREC_below_56,,3,SVERC,0.05
